127.0.0.1 - - [10/Mar/2025:00:43:03 +0000] "GET /api/products HTTP/1.1" 304 - "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
127.0.0.1 - - [10/Mar/2025:00:45:04 +0000] "GET /api/products HTTP/1.1" 304 - "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
127.0.0.1 - - [10/Mar/2025:00:50:30 +0000] "GET /api/products HTTP/1.1" 304 - "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
192.168.1.15 - - [10/Mar/2025:00:50:41 +0000] "GET /api/products HTTP/1.1" 304 - "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
192.168.1.15 - - [10/Mar/2025:00:50:41 +0000] "GET /api/hero-images HTTP/1.1" 304 - "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
192.168.1.15 - - [10/Mar/2025:00:50:41 +0000] "GET /api/categories HTTP/1.1" 304 - "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
192.168.1.15 - - [10/Mar/2025:00:50:41 +0000] "GET /api/reviews HTTP/1.1" 304 - "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
192.168.1.15 - - [10/Mar/2025:00:50:41 +0000] "GET /api/reviews HTTP/1.1" 304 - "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
192.168.1.15 - - [10/Mar/2025:00:50:41 +0000] "GET /api/products?sortBy=createdAt&order=desc&page=1&limit=15 HTTP/1.1" 304 - "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
192.168.1.15 - - [10/Mar/2025:00:50:41 +0000] "GET /uploads/hero-image-1740040807952-435270295.png HTTP/1.1" 200 323459 "-" "node"
192.168.1.15 - - [10/Mar/2025:00:50:41 +0000] "GET /uploads/hero-image-1740040801048-193446387.png HTTP/1.1" 200 146140 "-" "node"
192.168.1.15 - - [10/Mar/2025:00:50:41 +0000] "GET /uploads/hero-image-1740040547494-405486507.png HTTP/1.1" 200 233309 "-" "node"
192.168.1.15 - - [10/Mar/2025:00:50:42 +0000] "GET /api/products HTTP/1.1" 304 - "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
192.168.1.15 - - [10/Mar/2025:00:50:42 +0000] "GET /api/categories HTTP/1.1" 304 - "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
192.168.1.15 - - [10/Mar/2025:00:50:42 +0000] "GET /api/products HTTP/1.1" 304 - "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
192.168.1.15 - - [10/Mar/2025:00:50:42 +0000] "GET /api/products?sortBy=createdAt&order=desc&page=1&limit=12 HTTP/1.1" 304 - "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
192.168.1.15 - - [10/Mar/2025:00:50:42 +0000] "GET /api/articles?limit=3&sortBy=createdAt&order=desc HTTP/1.1" 304 - "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
192.168.1.15 - - [10/Mar/2025:00:50:42 +0000] "GET /api/products?sortBy=createdAt&order=desc&page=1&limit=12 HTTP/1.1" 304 - "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
192.168.1.15 - - [10/Mar/2025:00:50:42 +0000] "GET /uploads/file-1740013109775-674516286.png HTTP/1.1" 200 69732 "-" "node"
192.168.1.15 - - [10/Mar/2025:00:50:42 +0000] "GET /uploads/file-1739679428210-472481689.png HTTP/1.1" 200 146140 "-" "node"
192.168.1.15 - - [10/Mar/2025:00:50:42 +0000] "GET /uploads/file-1740013166881-610520174.png HTTP/1.1" 200 66278 "-" "node"
192.168.1.15 - - [10/Mar/2025:00:50:42 +0000] "GET /uploads/file-1739679322250-908842828.png HTTP/1.1" 200 112143 "-" "node"
192.168.1.15 - - [10/Mar/2025:00:50:42 +0000] "GET /api/articles?limit=3&sortBy=createdAt&order=desc HTTP/1.1" 304 - "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
192.168.1.15 - - [10/Mar/2025:00:50:42 +0000] "GET /uploads/file-1740013233872-838600473.png HTTP/1.1" 200 137421 "-" "node"
192.168.1.15 - - [10/Mar/2025:00:50:42 +0000] "GET /uploads/file-1740013185317-911627990.png HTTP/1.1" 200 323459 "-" "node"
192.168.1.15 - - [10/Mar/2025:00:50:42 +0000] "GET /uploads/image-1740021201881-953365409.png HTTP/1.1" 200 112143 "-" "node"
192.168.1.15 - - [10/Mar/2025:00:50:42 +0000] "GET /uploads/image-1740358590966-835113127.png HTTP/1.1" 200 113955 "-" "node"
192.168.1.15 - - [10/Mar/2025:00:50:42 +0000] "GET /uploads/image-1740148466213-719182997.png HTTP/1.1" 200 124622 "-" "node"
